First Name,Last Name,Email,Phone Number,Company Name,Job Title,Industry,City,State,Country,Lifecycle Stage,Lead Status,Created Date
Jeffrey,Carter,jcarter@company.com,(301) 357-6959,Amber Grove Retail,VP of Sales,Manufacturing,Louisville,KY,United States,lead,Unqualified,1/8/2025
Nicole,Hall,nhall@business.net,(638) 369-3281,Driftwood Hospitality,Finance Director,Insurance,Milwaukee,WI,United States,lead,Bad Timing,10/12/2024
Debra,Carter,debra.carter@outlook.com,(842) 920-9457,Foxglove Biotech,Customer Success Manager,Hospitality,Providence,RI,United States,salesqualifiedlead,Open,12/15/2026
Sharon,Lewsi,sharonlewis@yahoo.com,(617) 305-1430,Silverline Logistics,Business Development Rep,Education,Providence,RI,United States,subscriber,Attempted to Contact,6/10/2024
Richard,Rivera,richard.rivera@outlook.com,(239) 493-8740,Quarry Hill Ventures,VP of Sales,Media,Richmond,VA,United States,customer,Unqualified,10/1/2025
Jonathan,Lee,jlee@company.com,(632) 781-9433,Greystone Capital,Executive Assistant,Logistics,Columbus,OH,United States,subscriber,Connected,10/1/2025
Larry,Walker,lwalker@gmail.com,(693) 907-2311,Brightpath Consulting,Marketing Coordinator,Insurance,Milwaukee,WI,United States,marketingqualifiedlead,Unqualified,2/17/2026
Jessica,Torres,jessicatorres@company.com,(553) 349-5758,Beacon Analytics,IT Manager,Nonprofit,Providence,RI,United States,subscriber,In Progress,11/9/2025
Jennifer,Rodriguez,jrodriguez@yahoo.com,(797) 227-6591,Lumen Health Partners,Account Executive,Real Estate,Milwaukee,WI,United States,marketingqualifiedlead,In Progress,6/2/2025
Frank,Thomas,fthomas@outlook.com,(519) 806-2391,Hollowridge Transport,Operations Manager,Insurance,Kansas City,MO,United States,marketingqualifiedlead,New,3/1/2025
Brian,Wilson,brian.wilson@business.net,(364) 388-4617,Fieldstone Education,Product Manager,Healthcare,Boise,ID,United States,subscriber,Open,10/28/2026
Michelle,Taylor,mtaylor@company.com,(953) 534-6211,Vantage Point Law,Product Manager,Healthcare,Richmond,VA,United States,subscriber,Open,10/4/2024
William,Martin,william.martin@gmail.com,(816) 410-4277,Ironwood Manufacturing,Business Development Rep,Retail,Austin,TX,United States,subscriber,Open,5/19/2026
Justin,Carter,jcarter@gmail.com,(303) 492-9775,Greystone Capital,Business Development Rep,Biotechnology,Raleigh,NC,United States,salesqualifiedlead,In Progress,11/16/2025
Amy,Thompson,athompson@business.net,(586) 666-6272,Foxglove Biotech,Finance Director,Nonprofit,Richmond,VA,United States,lead,Attempted to Contact,4/28/2025
JOSEPH,TORRES,josephtorres@gmail.com,(575) 755-1681,Coppervale Manufacturing,Regional Sales Manager,Education,Raleigh,NC,United States,lead,Unqualified,2/10/2025
Ashley,Anderson,ashleyanderson@business.net,(572) 601-4004,Quarry Hill Ventures,Office Manager,Media,Portland,OR,United States,marketingqualifiedlead,Unqualified,1/3/2025
Katherine,Davis,kdavis@outlook.com,(816) 227-4257,Quarry Hill Ventures,Operations Director,Real Estate,Sacramento,CA,United States,lead,Unqualified,5/26/2026
Donna,Anderson,danderson@company.com,(326) 881-3224,Hollowridge Transport,Operations Director,Legal Services,Tampa,FL,United States,customer,Unqualified,12/11/2024
John,Nelson,johnnelson@business.net,(539) 289-1803,Ferncrest Media,Executive Assistant,Financial Services,Charleston,SC,United States,lead,Connected,10/22/2025
Thomas,Moore,thomasmoore@yahoo.com,(499) 914-3068,,,Manufacturing,Columbus,OH,United States,subscriber,Attempted to Contact,11/23/2025
Daniel,Walker,daniel.walker@business.net,(744) 715-2925,Silverline Logistics,Controller,Legal Services,Des Moines,IA,United States,lead,Attempted to Contact,1/25/2026
Frank,Wright,frankwright@company.com,(374) 971-2465,Ferncrest Media,Executive Assistant,Nonprofit,Kansas City,MO,United States,subscriber,Open,8/4/2024
Raymond,Hlal,raymondhall@business.net,(381) 666-6901,Hollowridge Transport,Sales Director,Manufacturing,Des Moines,IA,United States,marketingqualifiedlead,In Progress,6/7/2024
Pamela,Adams,padams@yahoo.com,(616) 656-2374,Foxglove Biotech,Marketing Coordinator,Healthcare,Portland,OR,United States,lead,In Progress,3/26/2026
Nicholas,Young,nicholas.young@business.net,(875) 956-3875,Silverline Logistics,CEO,Financial Services,Nashville,TN,United States,customer,New,5/19/2024
Mark,Allen,mallen@business.net,(904) 789-4621,Vantage Point Law,Business Development Rep,Real Estate,Louisville,KY,United States,salesqualifiedlead,Bad Timing,10/23/2026
Linda,Robinson,lindarobinson@business.net,(667) 777-1945,Marlowe & Co.,Regional Sales Manager,Legal Services,Portland,OR,United States,marketingqualifiedlead,Connected,7/9/2024
Frank,Clark,frank.clark@yahoo.com,(411) 268-2653,Fieldstone Education,Sales Director,Construction,Des Moines,IA,United States,opportunity,Connected,4/13/2026
John,Brown,john.brown@yahoo.com,(860) 292-9307,Lumen Health Partners,Regional Sales Manager,Hospitality,Milwaukee,WI,United States,opportunity,Bad Timing,1/15/2026
Shirley,Flores,sflores@company.com,(589) 244-3799,Hollowridge Transport,Office Manager,Hospitality,Nashville,TN,United States,customer,Bad Timing,3/28/2024
Michael,Johnson,michael.johnson@business.net,(306) 468-3544,Silverline Logistics,Purchasing Manager,Logistics,Albuquerque,NM,United States,lead,Open,5/15/2026
Laura,Hernandez,laura.hernandez@business.net,(649) 449-1666,Brightpath Consulting,Account Executive,Media,Milwaukee,WI,United States,customer,Attempted to Contact,3/1/2025
Ryan,Adams,ryanadams@gmail.com,(611) 636-2768,Orchard Lane Foods,Regional Sales Manager,Manufacturing,Austin,TX,United States,subscriber,In Progress,3/3/2026
Frank,Williams,frank.williams@gmail.com,(345) 506-4526,Brightpath Consulting,COO,Education,Kansas City,MO,United States,lead,Attempted to Contact,5/5/2025
Matthew,Lopez,mlopez@yahoo.com,(727) 535-2421,Lumen Health Partners,Account Executive,Financial Services,Des Moines,IA,United States,lead,Unqualified,3/11/2024
Timothy,Hill,timothy.hill@business.net,(838) 875-9369,Redstone Realty,Customer Success Manager,Nonprofit,Portland,OR,United States,customer,In Progress,10/19/2025
Ashley,Martin,ashleymartin@yahoo.com,(989) 520-2476,Meridian Data Systems,Operations Manager,Manufacturing,Denver,CO,United States,customer,Open,3/19/2024
Scott,Hall,shall@gmail.com,(657) 521-3015,Beacon Analytics,VP of Sales,Hospitality,Nashville,TN,United States,lead,Connected,2/18/2024
Gregory,Adams,gregoryadams@business.net,(579) 244-9680,Granite Peak Construction,HR Manager,Media,Boise,ID,United States,salesqualifiedlead,Bad Timing,6/19/2025
Eric,Wright,ewright@gmail.com,(596) 728-1807,Cobalt Digital,IT Manager,Construction,Albuquerque,NM,United States,salesqualifiedlead,In Progress,8/6/2025
Sarah,Adams,sadams@gmail.com,(776) 208-3688,Vantage Point Law,Business Development Rep,Nonprofit,Portland,OR,United States,lead,Connected,3/14/2026
Scott,Torres,scott.torres@gmail.com,(642) 496-7460,Brightpath Consulting,VP of Sales,Technology,Louisville,KY,United States,subscriber,Unqualified,12/2/2026
Nicholas,Johnson,nicholas.johnson@company.com,(386) 602-1741,Silverline Logistics,Executive Assistant,Biotechnology,Raleigh,NC,United States,customer,In Progress,10/24/2025
Laura,Robinson,lrobinson@company.com,(384) 665-9346,Granite Peak Construction,Operations Director,Insurance,Des Moines,IA,United States,salesqualifiedlead,Unqualified,4/6/2025
Gregory,Wilson,gwilson@company.com,(220) 985-1145,Orchard Lane Foods,VP of Sales,Legal Services,Tampa,FL,United States,lead,Attempted to Contact,4/9/2024
Emily,Lewis,emily.lewis@yahoo.com,(475) 777-2009,Brightpath Consulting,Account Executive,Manufacturing,Omaha,NE,United States,customer,In Progress,7/25/2026
Laura,Walker,laurawalker@outlook.com,(764) 348-7284,Cobalt Digital,COO,Education,Tucson,AZ,United States,customer,Open,5/25/2024
Paul,Martin,paul.martin@outlook.com,(938) 397-6169,Ferncrest Media,Operations Director,Media,Tampa,FL,United States,customer,Open,4/24/2024
Michael,Hernandez,michael.hernandez@company.com,(553) 959-9711,Marlowe & Co.,COO,Biotechnology,Richmond,VA,United States,salesqualifiedlead,Unqualified,3/9/2026
Rachel,Rivera,rachelrivera@yahoo.com,(713) 943-7370,Brightpath Consulting,Account Executive,Manufacturing,Portland,OR,United States,subscriber,Open,6/17/2024
Ryan,Wilson,ryanwilson@company.com,(687) 299-8178,Aster Marketing,Regional Sales Manager,Technology,Louisville,KY,United States,subscriber,In Progress,12/4/2024
Eric,Carter,ericcarter@yahoo.com,(864) 960-9715,Driftwood Hospitality,Product Manager,Real Estate,Des Moines,IA,United States,lead,Bad Timing,3/5/2024
Patricia,Garcia,pgarcia@business.net,(221) 983-5415,Crestline Energy,Sales Director,Media,Kansas City,MO,United States,lead,Unqualified,11/15/2026
Kenneth,Carter,kennethcarter@business.net,(841) 444-5499,Vantage Point Law,Operations Manager,Nonprofit,Tampa,FL,United States,marketingqualifiedlead,Open,6/11/2025
Kenneth,Jackson,kenneth.jackson@business.net,(533) 585-5592,Elmshade Legal,Purchasing Manager,Technology,Tucson,AZ,United States,subscriber,Attempted to Contact,10/18/2024
Scott,Brown,scottbrown@gmail.com,(296) 771-7333,Cascade Software,Product Manager,Nonprofit,Richmond,VA,United States,customer,Attempted to Contact,6/3/2024
Joseph,Jones,josephjones@company.com,(243) 401-2766,Beacon Analytics,Marketing Coordinator,Hospitality,Austin,TX,United States,subscriber,Unqualified,5/2/2024
Thomas,Jackson,thomas.jackson@business.net,(910) 394-7512,Orchard Lane Foods,Operations Director,Insurance,Columbus,OH,United States,opportunity,New,8/25/2024
Jacob,Johnson,jacobjohnson@business.net,(824) 426-2035,Meridian Data Systems,Regional Sales Manager,Biotechnology,Des Moines,IA,United States,customer,In Progress,7/4/2026
Jason,Davis,jason.davis@outlook.com,(565) 531-3844,Northwind Traders,Purchasing Manager,Legal Services,Kansas City,MO,United States,marketingqualifiedlead,New,4/15/2025
Thomas,Young,thomasyoung@yahoo.com,(489) 469-5321,Pinnacle Logistics Group,Office Manager,Real Estate,Tampa,FL,United States,lead,In Progress,8/25/2026
Frank,Flores,fflores@yahoo.com,(242) 229-2330,Beacon Analytics,CEO,Logistics,Des Moines,IA,United States,customer,Open,7/20/2026
Robert,Miller,robert.miller@company.com,(770) 762-1002,Elmshade Legal,Operations Manager,Media,Albuquerque,NM,United States,opportunity,Attempted to Contact,5/17/2026
Christopher,Clark,cclark@company.com,(404) 974-5706,Amber Grove Retail,IT Manager,Legal Services,Tucson,AZ,United States,subscriber,Bad Timing,11/19/2024
Mark,Torres,mtorres@gmail.com,(551) 586-7252,Meridian Data Systems,Operations Director,Insurance,Des Moines,IA,United States,salesqualifiedlead,Bad Timing,4/9/2024
Helen,Rivera,helen.rivera@gmail.com,(871) 703-2310,Vantage Point Law,Sales Director,Technology,Denver,CO,United States,opportunity,Connected,6/26/2025
Frank,Wright,frank.wright@outlook.com,(374) 971-2465,Ferncrest Media,Executive Assistant,Nonprofit,Kansas City,MO,United States,subscriber,Open,7/25/2025
Christine,Garcia,christine.garcia@gmail.com,(688) 279-3174,Crestline Energy,HR Manager,Education,Raleigh,NC,United States,customer,Unqualified,1/23/2024
Michael,Rivera,mrivera@company.com,(367) 791-3253,Vantage Point Law,Controller,Logistics,Salt Lake City,UT,United States,lead,Open,12/7/2024
Elizabeth,Thompson,elizabeth.thompson@business.net,(345) 497-8215,Cobalt Digital,CEO,Biotechnology,Austin,TX,United States,marketingqualifiedlead,New,4/7/2024
Mary,Lopez,mary.lopez@company.com,(845) 729-9748,Aster Marketing,Office Manager,Media,Boise,ID,United States,salesqualifiedlead,In Progress,9/28/2025
Linda,Garcia,lindagarcia@yahoo.com,+1 210 634 9334,Hollowridge Transport,VP of Sales,Construction,Salt Lake City,UT,United States,salesqualifiedlead,Attempted to Contact,2/18/2025
Stephen,Clark,stephen.clark@company.com,(617) 848-4829,Hollowridge Transport,Marketing Manager,Logistics,Denver,CO,United States,opportunity,Attempted to Contact,2/8/2026
Amy,Wilson,amywilson@business.net,(775) 912-5450,Brightpath Consulting,Account Executive,Hospitality,Sacramento,CA,United States,customer,Attempted to Contact,4/2/2024
Stephanie,Clark,stephanieclark@outlook.com,(330) 837-9751,Northwind Traders,Purchasing Manager,Hospitality,Albuquerque,NM,United States,opportunity,Connected,2/21/2024
Kathleen,Rivera,kathleen.rivera@outlook.com,(390) 590-5742,Marlowe & Co.,Controller,Retail,Charleston,SC,United States,marketingqualifiedlead,Bad Timing,5/16/2026
Brandon,Garcia,brandongarcia@company.com,(874) 916-2645,Aster Marketing,Purchasing Manager,Logistics,Milwaukee,WI,United States,opportunity,Open,3/28/2026
Ronald,Harris,ronaldharris@company.com,(632) 717-8101,Coppervale Manufacturing,VP of Sales,Insurance,Nashville,TN,United States,salesqualifiedlead,New,7/28/2025
Kenneth,Harris,kennethharris@company.com,(786) 300-9001,Ferncrest Media,Finance Director,Technology,Charleston,SC,United States,salesqualifiedlead,Attempted to Contact,6/6/2026
Raymond,Hall,rhall@business.net,(381) 666-6901,Hollowridge Transport,Sales Director,Manufacturing,Des Moines,IA,United States,marketingqualifiedlead,In Progress,7/27/2025
Debra,King,debra.king@outlook.com,(302) 623-6411,Quarry Hill Ventures,Controller,Manufacturing,Kansas City,MO,United States,customer,Bad Timing,1/18/2024
Mary,Miller,mary.miller@company.com,(286) 741-9426,Greystone Capital,VP of Sales,Real Estate,Boise,ID,United States,subscriber,Unqualified,3/25/2024
Michael,Carter,mcarter@company.com,(762) 274-5762,Willowbrook Nonprofit,Operations Manager,Logistics,Providence,RI,United States,subscriber,Open,10/16/2026
Brandon,Flores,bflores@outlook.com,(719) 307-3736,Meridian Data Systems,Account Executive,Insurance,Raleigh,NC,United States,lead,In Progress,10/12/2024
Jeffrey,Mitchell,jeffreymitchell@gmail.com,,,,Financial Services,Boise,ID,United States,opportunity,Attempted to Contact,2/1/2026
Sharon,Rivera,srivera@gmail.com,(208) 826-9362,Lumen Health Partners,VP of Sales,Insurance,Milwaukee,WI,United States,marketingqualifiedlead,New,9/2/2025
Rachel,Carter,rachelcarter@company.com,(526) 265-4335,Foxglove Biotech,Executive Assistant,Logistics,Salt Lake City,UT,United States,marketingqualifiedlead,Connected,5/22/2024
Dorothy,Campbell,dorothycampbell@yahoo.com,(471) 871-4728,Aster Marketing,Sales Director,Hospitality,Austin,TX,United States,salesqualifiedlead,Open,10/17/2025
Nicole,Moore,nicole.moore@outlook.com,(485) 661-4995,Coppervale Manufacturing,Regional Sales Manager,Hospitality,Richmond,VA,United States,opportunity,Connected,6/1/2025
Anna,Rodriguez,annarodriguez@outlook.com,(408) 538-2295,Hollowridge Transport,Regional Sales Manager,Insurance,Albuquerque,NM,United States,marketingqualifiedlead,New,12/27/2026
Patricia,Lopez,patricia.lopez@yahoo.com,(455) 233-8478,Beacon Analytics,Business Development Rep,Nonprofit,Sacramento,CA,United States,lead,In Progress,5/3/2024
Matthew,Davis,mdavis@gmail.com,(417) 857-1349,Beacon Analytics,Office Manager,Healthcare,Omaha,NE,United States,lead,Bad Timing,4/3/2026
Larry,Rodriguez,lrodriguez@gmail.com,(489) 530-1909,Aster Marketing,Operations Manager,Education,Sacramento,CA,United States,opportunity,Unqualified,7/9/2024
Karen,Miller,karenmiller@company.com,(521) 616-2978,Marlowe & Co.,Business Development Rep,Media,Nashville,TN,United States,lead,Unqualified,8/9/2025
James,Rivera,jrivera@business.net,(320) 732-1117,Lumen Health Partners,Finance Director,Nonprofit,Austin,TX,United States,marketingqualifiedlead,Unqualified,2/5/2025
Raymond,White,raymondwhite@company.com,(441) 571-2627,Willowbrook Nonprofit,Business Development Rep,Education,Sacramento,CA,United States,customer,In Progress,7/9/2024
Samantha,Martinez,samantha.martinez@outlook.com,(487) 985-2884,Foxglove Biotech,Product Manager,Nonprofit,Louisville,KY,United States,lead,Connected,4/16/2025
Carol,Nguyne,carolnguyen@gmail.com,(342) 357-6410,Crestline Energy,COO,Biotechnology,Austin,TX,United States,opportunity,Attempted to Contact,9/10/2024
Sarah,Green,sarahgreen@outlook.com,(874) 357-7932,Driftwood Hospitality,Purchasing Manager,Manufacturing,Salt Lake City,UT,United States,salesqualifiedlead,Attempted to Contact,10/13/2025
Shirley,Brown,shirley.brown@yahoo.com,(231) 614-8408,Marlowe & Co.,Operations Director,Healthcare,Salt Lake City,UT,United States,subscriber,Unqualified,3/4/2024
Matthew,Brown,mbrown@company.com,(819) 817-1647,Foxglove Biotech,Operations Manager,Healthcare,Tampa,FL,United States,opportunity,Connected,9/7/2026
Andrew,Gonzalez,andrewgonzalez@company.com,(386) 602-7182,Elmshade Legal,CEO,Healthcare,Denver,CO,United States,subscriber,New,11/20/2026
Margaret,Garcia,margaretgarcia@yahoo.com,(694) 712-3524,Cobalt Digital,Office Manager,Biotechnology,Omaha,NE,United States,salesqualifiedlead,Connected,3/26/2024
Emily,Harris,emilyharris@company.com,(537) 509-1187,Redstone Realty,Business Development Rep,Nonprofit,Kansas City,MO,United States,lead,New,2/15/2026
Amanda,Taylor,amandataylor@company.com,(372) 950-6770,Ironwood Manufacturing,VP of Sales,Nonprofit,Tucson,AZ,United States,opportunity,Unqualified,9/21/2024
Charles,Lopez,charleslopez@company.com,(516) 947-8311,Cascade Software,Customer Success Manager,Manufacturing,Columbus,OH,United States,lead,Open,10/25/2024
Susan,Jones,susanjones@gmail.com,(364) 949-2228,Marlowe & Co.,Operations Manager,Technology,Richmond,VA,United States,opportunity,Attempted to Contact,7/24/2024
Daniel,Flores,danielflores@company.com,(874) 387-2565,Lumen Health Partners,Sales Director,Healthcare,Boise,ID,United States,lead,In Progress,9/10/2026
Nicholas,Jones,njones@company.com,(946) 760-6353,Vantage Point Law,Marketing Manager,Media,Milwaukee,WI,United States,subscriber,Connected,3/21/2026
Matthew,Brown,matthewbrown@gmail.com,(819) 817-1647,Foxglove Biotech,Operations Manager,Healthcare,Tampa,FL,United States,opportunity,Connected,2/4/2026
Charles,Hlal,charles.hall@business.net,(410) 757-8244,Quarry Hill Ventures,Business Development Rep,Biotechnology,Albuquerque,NM,United States,customer,Unqualified,3/1/2026
James,Rivera,james.rivera@yahoo.com,(488) 231-4854,Granite Peak Construction,CEO,Real Estate,Providence,RI,United States,customer,In Progress,7/13/2026
Jason,Garcia,jasongarcia@business.net,(404) 299-1421,Cobalt Digital,Customer Success Manager,Legal Services,Salt Lake City,UT,United States,marketingqualifiedlead,New,2/10/2025
Matthew,White,matthew.white@yahoo.com,(595) 716-8378,Coppervale Manufacturing,Operations Director,Logistics,Providence,RI,United States,opportunity,Connected,2/5/2026
Paul,Scott,paulscott@yahoo.com,(915) 696-2989,Northwind Traders,COO,Media,Portland,OR,United States,lead,Connected,5/18/2024
Jennifer,Baker,jennifer.baker@company.com,(595) 462-9851,Aster Marketing,IT Manager,Retail,Richmond,VA,United States,opportunity,Bad Timing,9/26/2025
Frank,Clark,frank.clark@gmail.com,(411) 268-2653,Fieldstone Education,Sales Director,Construction,Des Moines,IA,United States,opportunity,Connected,1/8/2026
